targets	p_val_ttest_Day05_RepA_early	p_val_ttest_Day22_RepA_late	p_val_ttest_Day22_RepB_late	p_val_ttest_Day22_RepC_late	p_val_wil_Day05_RepA_early	p_val_wil_Day22_RepA_late	p_val_wil_Day22_RepB_late	p_val_wil_Day22_RepC_late	fdr_vals_ttest_Day05_RepA_early	fdr_vals_ttest_Day22_RepA_late	fdr_vals_ttest_Day22_RepB_late	fdr_vals_ttest_Day22_RepC_late	fdr_vals_wil_Day05_RepA_early	fdr_vals_wil_Day22_RepA_late	fdr_vals_wil_Day22_RepB_late	fdr_vals_wil_Day22_RepC_late
AADAC_AADACL2	0.11610612508888996	0.7788548031098357	0.20732331000533133	0.08938032780283249	0.10546650476370384	0.7384097864036709	0.010845517368726802	0.08646855796994084	0.3219464341388763	0.8845125709420312	0.40761379979493845	0.22619591556982177	0.29599591255208435	0.8529742233955822	0.047134526961133356	0.2047416430092852
AADACL3_AADACL4	0.8466173383554472	0.0811600540912329	0.9642420742133857	0.8829424251681581	0.5691375124521956	0.10823254467491904	0.9974622758801844	0.8065307972416444	0.9386315366188213	0.22167887580626255	0.9842507801411042	0.9435623025670842	0.7583591692441933	0.238204104733262	1	0.8857920922717936
ABCC1_ABCC3	0.9715765860826561	0.7574475514321425	0.5173262902097282	0.42518297360700996	0.8144328527108444	0.8144328527108444	0.414365938278435	0.6922110457664088	0.991608029745983	0.8780939778532463	0.7093062873366202	0.6068969869107803	0.9301867457135089	0.9029772209818835	0.6140962826284719	0.8166980265056141
ABCC8_ABCC9	0.23699648521980934	0.002292755421050747	0.9660914488856889	0.017364240742915347	0.2753011279831523	0.004784938044499228	0.9771635631471184	0.003996768880420612	0.46853431818887453	0.027740487855878973	0.9842507801411042	0.07948963540090136	0.5222102427673055	0.029689675818278343	0.98771194312221	0.022252280793693135
ABCD1_ABCD2	0.39844750379114824	0.001728557343886706	0.06878339281923065	0.8288411617957284	0.40287922081808575	8.682798612103265e-4	0.07541385412138159	0.9113626115355175	0.6438174729106393	0.023943382663513042	0.19147809352380427	0.9111952111254255	0.6240084172069599	0.009219878938625116	0.19179325862968652	0.9647517881619557
ABCG1_ABCG4	0.029158725478088895	0.061496650595234376	0.012960465339410561	0.25279620907365247	0.03335351031499628	0.00517839546689438	0.004784938044499228	0.2136456329171906	0.15724338870383014	0.19159237064558726	0.06845784256201476	0.44043833545308525	0.16128692781430126	0.0309723030267134	0.026640465869374078	0.3761623964183014
ABHD4_ABHD5	0.6848627776965037	0.9522045139707858	0.8848134506664376	0.8333634169901422	0.9045800222734233	0.9045800222734233	0.20604470751959816	0.5644891894694617	0.8458137422390873	0.97994803444987	0.9503210158356942	0.9131535313828153	0.9743462961333076	0.9465059304616597	0.37695568160779064	0.7178072409303032
ABI1_ABI2	0.5719836220427663	0.3335528065753913	0.5168576533206517	0.485717477602305	0.7097984487786326	0.5102951580186034	0.36806620667608614	0.49811312785977124	0.7621515274308529	0.5228576260834108	0.7093062873366202	0.6600118758975911	0.8639134296051173	0.6915842273146862	0.564989855255393	0.663721244108104
ABL1_ABL2	0.602433217185377	0.3789613226257442	0.826351631155082	0.4141961757274327	0.572748933419732	0.4598066344152842	0.8307869888820443	0.42648801777686157	0.7839202377499879	0.5765585853833332	0.9242606235206969	0.5973155796044086	0.7621852731554574	0.6452694329962221	0.9060188787338188	0.5960415987926289
ACACA_ACACB	0.029933714299728006	4.799960687289537e-4	0.008333436232287326	7.014834450410069e-4	0.021758052290780695	3.209965159986544e-4	0.004302738153489752	1.9082877706019438e-4	0.1605819048370825	0.011236271608882326	0.051397840235065544	0.010565364884000658	0.12879766585921906	0.004862669860721523	0.02532468741768254	0.002456920504650003
