targets	p_val_ttest_dmsoA_dmso	p_val_ttest_dmsoB_dmso	p_val_ttest_drug1A_drug	p_val_ttest_drug1B_drug	p_val_wil_dmsoA_dmso	p_val_wil_dmsoB_dmso	p_val_wil_drug1A_drug	p_val_wil_drug1B_drug	fdr_vals_ttest_dmsoA_dmso	fdr_vals_ttest_dmsoB_dmso	fdr_vals_ttest_drug1A_drug	fdr_vals_ttest_drug1B_drug	fdr_vals_wil_dmsoA_dmso	fdr_vals_wil_dmsoB_dmso	fdr_vals_wil_drug1A_drug	fdr_vals_wil_drug1B_drug
AADAC_AADACL2	0.39865386870588826	0.20060300256633568	0.7031362731642825	0.006677380853130354	0.3147019110055161	0.2916773691556583	0.6065785286292911	0.024288963037407102	0.6317130534877922	0.4313592748294901	0.8482332663596979	0.07475763346439418	0.5393393815901524	0.4832436883676833	0.770377169529186	0.10830143692004034
AADACL3_AADACL4	0.03158916403438026	0.037300448717429845	0.3595022698083834	0.019272407576129386	0.029830787547218608	0.048252884839272175	0.5185022341906631	0.03665059396138967	0.1651616190630034	0.1738437202667545	0.6140751872348837	0.12040604717497307	0.13476189111243492	0.16348839271200769	0.707360663862759	0.13930649785368796
ABCC1_ABCC3	0.35214767721292395	0.5282978412373056	0.1871257976585065	0.8587022324840969	0.26974148004807064	0.21131256859675582	0.11687612813128218	0.6538208916872534	0.5862391765034308	0.7159826006242432	0.43940567351646087	0.9204909442597304	0.49174110522037656	0.41536630850125666	0.2965084038798538	0.796023071439564
ABCC8_ABCC9	0.13827863407826038	0.41029087449150836	0.04062204715024035	0.3682450423806608	0.13838454055153399	0.49011800485743123	0.05533649929090441	0.33186040702697545	0.37284553167698475	0.6205574166317968	0.183480548714609	0.5880502227164041	0.3340886555254945	0.6776128120847708	0.19397391450459464	0.5410915117956796
ABCD1_ABCD2	0.2809033868609895	0.9746981613364883	0.5582014692822868	0.2151781569396787	0.5226312053966947	0.7384097864036709	0.49007855891017443	0.3351898468313053	0.5306784439704052	0.9900780139808512	0.7656008745862954	0.4504745968452623	0.718705128916683	0.8536050280536264	0.6858436354313582	0.5422672501536341
ABCG1_ABCG4	0.6961855393324511	0.030400055798068926	0.9747250174879756	0.005644188083170358	0.4733409878191413	0.06595905241665594	0.6916751750390948	2.976745039280159e-4	0.8426217456080195	0.15648402047415347	0.9956287185423716	0.07026871682294784	0.664225091898795	0.2052502235321922	0.8309759640319361	0.008794243816614008
ABHD4_ABHD5	0.05398305061713681	0.26729798367396496	0.442881175544544	0.8688365882862598	0.06760827793800384	0.1009715336227219	0.3542272090069051	0.6784740047410138	0.2233033820708872	0.49202543291233236	0.6818648891044549	0.9235311516355496	0.2253609264600128	0.2619664474342659	0.588280771841285	0.8097661933757175
ABI1_ABI2	0.5189250377887712	0.49517138885682066	0.1903701762000179	0.022682415826728756	0.167903167616138	0.9659177757249842	0.16083186143955125	0.004629408668617711	0.7025206406808382	0.6920305705868729	0.4436228087918969	0.12769186936167073	0.3771913317832036	0.9793797670917715	0.37478917937270995	0.04275774706933862
ABL1_ABL2	0.4730364401539322	0.9421207013221573	0.9751430035163839	0.9220411354648079	0.43210127435587137	0.46251498791357243	0.5062172439622736	0.5953111402864495	0.681616559276893	0.9808275332912177	0.9956287185423716	0.9583273153670556	0.6403803058799244	0.6543824691634336	0.6979970030537375	0.7626498438993072
ACACA_ACACB	0.16293525449197135	0.5246672334827933	0.025068006275242284	0.10627532624510311	0.18585410857568901	0.477619816407549	0.04389879206676864	0.07436651356707644	0.3933865988509354	0.7136490714585085	0.14344470257499753	0.2965097511611542	0.3947004780061024	0.6665967627368231	0.16998404446906654	0.22202176514228616
